sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,Microsoft Academic Paper ID,WHO #Covidence,has_full_text
05252b1035b0647c566b72ef0ef269f3fc385c90,PMC,#CDCGrandRounds and #VitalSigns: A Twitter Analysis,http://dx.doi.org/10.29024/aogh.2381,PMC6748269,30779521,CC BY,"BACKGROUND: The CDC hosts monthly panel presentations titled ‘Public Health Grand Rounds’ and publishes monthly reports known as Vital Signs. Hashtags #CDCGrandRounds and #VitalSigns were used to promote them on Twitter. OBJECTIVES: This study quantified the effect of hashtag count, mention count, and URL count and attaching visual cues to #CDCGrandRounds or #VitalSigns tweets on their retweet frequency. METHODS: Through Twitter Search Application Programming Interface, original tweets containing the hashtag #CDCGrandRounds (n = 6,966; April 21, 2011–October 25, 2016) and the hashtag #VitalSigns (n = 15,015; March 19, 2013–October 31, 2016) were retrieved respectively. Negative binomial regression models were applied to each corpus to estimate the associations between retweet frequency and three predictors (hashtag count, mention count, and URL link count). Each corpus was sub-set into cycles (#CDCGrandRounds: n = 58, #VitalSigns: n = 42). We manually coded the 30 tweets with the highest number of retweets...",,"['Jackson, Ashley M.', 'Mullican, Lindsay A.', 'Yin, Jingjing', 'Ho Tse, Zion Tsz', 'Liang, Hai', 'Fu, King-Wa', 'Ahweyevu, Jennifer O.', 'Jenkins, Jimmy J.', 'Saroha, Nitin', 'Fung, Isaac Chun-Hai']",Ann Glob Health.; 84(4):710-716,,,TRUE
fb4ca5437ec6856a1f57ece571120c64f17b13ad,PMC,#CDCGrandRounds and #VitalSigns: A Twitter Analysis,http://dx.doi.org/10.29024/aogh.2381,PMC6748269,30779521,CC BY,"BACKGROUND: The CDC hosts monthly panel presentations titled ‘Public Health Grand Rounds’ and publishes monthly reports known as Vital Signs. Hashtags #CDCGrandRounds and #VitalSigns were used to promote them on Twitter. OBJECTIVES: This study quantified the effect of hashtag count, mention count, and URL count and attaching visual cues to #CDCGrandRounds or #VitalSigns tweets on their retweet frequency. METHODS: Through Twitter Search Application Programming Interface, original tweets containing the hashtag #CDCGrandRounds (n = 6,966; April 21, 2011–October 25, 2016) and the hashtag #VitalSigns (n = 15,015; March 19, 2013–October 31, 2016) were retrieved respectively. Negative binomial regression models were applied to each corpus to estimate the associations between retweet frequency and three predictors (hashtag count, mention count, and URL link count). Each corpus was sub-set into cycles (#CDCGrandRounds: n = 58, #VitalSigns: n = 42). We manually coded the 30 tweets with the highest number of retweets...",,"['Jackson, Ashley M.', 'Mullican, Lindsay A.', 'Yin, Jingjing', 'Ho Tse, Zion Tsz', 'Liang, Hai', 'Fu, King-Wa', 'Ahweyevu, Jennifer O.', 'Jenkins, Jimmy J.', 'Saroha, Nitin', 'Fung, Isaac Chun-Hai']",Ann Glob Health.; 84(4):710-716,,,TRUE
5654f631d4fdb16992c05e76574f311f24dd506e,PMC,2015 MERS outbreak in Korea: hospital-to-hospital transmission,http://dx.doi.org/10.4178/epih/e2015033,PMC4533026,26212508,CC BY-NC,"The distinct characteristic of the Middle East Respiratory Syndrome (MERS) outbreak in South Korea is that it not only involves intra-hospital transmission, but it also involves hospital-to-hospital transmission. It has been the largest MERS outbreak outside the Middle East, with 186 confirmed cases and, among them, 36 fatal cases as of July 26, 2015. All confirmed cases are suspected to be hospital-acquired infections except one case of household transmission and two cases still undergoing examination. The Korean health care system has been the major factor shaping the unique characteristics of the outbreak. Taking this as an opportunity, the Korean government should carefully assess the fundamental problems of the vulnerability to hospital infection and make short- as well as long-term plans for countermeasures. In addition, it is hoped that this journal, Epidemiology and Health, becomes a place where various topics regarding MERS can be discussed and shared.",2015 Jul 21,"Ki, Moran",Epidemiol Health,,,FALSE
f4c7da2c6eb641d6c76db9f8220b3f0c01850874,PMC,2015 MERS outbreak in Korea: hospital-to-hospital transmission,http://dx.doi.org/10.4178/epih/e2015033,PMC4533026,26212508,CC BY-NC,"The distinct characteristic of the Middle East Respiratory Syndrome (MERS) outbreak in South Korea is that it not only involves intra-hospital transmission, but it also involves hospital-to-hospital transmission. It has been the largest MERS outbreak outside the Middle East, with 186 confirmed cases and, among them, 36 fatal cases as of July 26, 2015. All confirmed cases are suspected to be hospital-acquired infections except one case of household transmission and two cases still undergoing examination. The Korean health care system has been the major factor shaping the unique characteristics of the outbreak. Taking this as an opportunity, the Korean government should carefully assess the fundamental problems of the vulnerability to hospital infection and make short- as well as long-term plans for countermeasures. In addition, it is hoped that this journal, Epidemiology and Health, becomes a place where various topics regarding MERS can be discussed and shared.",2015 Jul 21,"Ki, Moran",Epidemiol Health,,,TRUE
2ef7ce66fc8445aa7bfabc121193e2ae0091fecb,CZI,2019-nCoV: Polite with children!,10.4081/pr.2020.8495,,,cc-by-nc,"A novel epidemic is challenging the global health care system. Starting from probably November to December 2019, another Coronavirus entered the arena of human pathogens, to be then defined 2019- nCoV [...].",2020,"Aricò, Désirée Caselli; Maurizio",Pediatric Reports. 2020;12(1),3006451293,#700,TRUE
5f3fc1bf0b828ea47a282433d84726eb5b25447c,PMC,2019-nCoV: Polite with children!,http://dx.doi.org/10.4081/pr.2020.8495,PMC7036705,,CC BY-NC,,2020 Feb 11,"['Caselli, Désirée', 'Aricò, Maurizio']",Pediatr Rep,,,TRUE
,CZI,2019-nCoV: new challenges from coronavirus,10.3760/cma.j.issn.0253-9624.2020.0001,,,,"The outbreak of pneumonia caused by the novel coronavirus 2019-nCoV in Wuhan, Hubei province of China, at the end of 2019 shaped tremendous challenges to China's public health and clinical treatment. The virus belongs to the &beta; genus Coronavirus in the family Corornaviridae, and is closely related to SARS-CoV and MERS-CoV, causing severe symptoms of pneumonia. The virus is transmitted through droplets, close contact, and other means, and patients in the incubation period could potentially transmit the virus to other persons. According to current observations, 2019-nCoV is weaker than SARS in pathogenesis, but has stronger transmission competence; it's mechanism of cross-species spread might be related with angiotensin-converting enzyme &#8545; (ACE2), which is consistent with the receptor SARS-CoV. After the outbreak of this disease, Chinese scientists invested a lot of energy to carry out research by developing rapid diagnostic reagents, identifying the characters of the pathogen, screening out clinic...",2020,"TIAN, Huai Yu",Chinese Journal of Preventive Medicine,3006243359,#270,
,CZI,2019-nCoV: new challenges from coronavirus,10.3760/cma.j.issn.0253-9624.2020.0001,,32023682,,"The outbreak of pneumonia caused by the novel coronavirus 2019-nCoV in Wuhan, Hubei province of China, at the end of 2019 shaped tremendous challenges to China's public health and clinical treatment. The virus belongs to the β genus Coronavirus in the family Corornaviridae, and is closely related to SARS-CoV and MERS-CoV, causing severe symptoms of pneumonia. The virus is transmitted through droplets, close contact, and other means, and patients in the incubation period could potentially transmit the virus to other persons. According to current observations, 2019-nCoV is weaker than SARS in pathogenesis, but has stronger transmission competence; it's mechanism of cross-species spread might be related with angiotensin-converting enzyme Ⅱ (ACE2), which is consistent with the receptor SARS-CoV. After the outbreak of this disease, Chinese scientists invested a lot of energy to carry out research by developing rapid diagnostic reagents, identifying the characters of the pathogen, screening out clinical drugs th...",2020,"Tian, H. Y.",Zhonghua Yu Fang Yi Xue Za Zhi,3006243359,#270,
,CZI,2019-novel coronavirus infection in a three-month-old baby,10.7759/cureus.4949,,,,,2020,"Zhang, Yuehua; Lin, Zhang; Xiao, Meifang; Wang, Jiachong; Wei, Yong; Lei, Zhixian; Zeng, Zhenqiong; Li, Ling; Li, Hongai; Xiang, Wei",Chinese Journal of Pediatrics,2951323607,#699,
,CZI,2019-novel coronavirus infection in a three-month-old baby,10.3760/cma.j.issn.0578-1310.2020.0006,,32043842,,,2020,"Zhang, Y. H.; Lin, D. J.; Xiao, M. F.; Wang, J. C.; Wei, Y.; Lei, Z. X.; Zeng, Z. Q.; Li, L.; Li, H. A.; Xiang, W.",Zhonghua Er Ke Za Zhi,2951323607,#699,
